"Urun_Ad",Marka,Seri,"Urun_URL",SSD,"Islemci_Turu","Islemci_Nesli","Islemci_Modeli","Islemci_Cekirdek_Sayisi","Islemci_Hizi","Ekran_Kart","Ekran_Karti_Modeli","Ekran_Karti_Tipi","Ekran_Karti_Hafizasi",RAM,"RAM_Frekans","Ram_Turu","Cozunurluk_Format","Ekran_Boyutu","Ekran_Cozunurlugu","Ekran_Yenileme_Hizi","Panel_Tipi","Isletim_Sistemi",Agirlik,"Pil_Gucu",Fiyat
"HP 255 G10 Ryzen5 7530U 8GB RAM 512GB SSD 15.6'' FHD W11H Uma Gümüş Notebook B2NC8ES",HP,"HP 255","https//www.akakce.com/laptop-notebook/en-ucuz-hp-255-g10-ryzen5-7530u-8gb-ram-512gb-ssd-15-6-fhd-w11h-uma-gumus-notebook-b2nc8es-fiyati,952522430.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","17.999"
"Acer Aspire 3 A315-59-59AY NX.K6TEY.002 i5-1235U 8 GB 512 GB SSD 15.6"" W11H Dizüstü Bilgisayar",Acer,"Acer Aspire","https//www.akakce.com/laptop-notebook/en-ucuz-acer-aspire-3-a315-59-59ay-nx-k6tey-002-i5-1235u-8-gb-512-gb-ssd-15-6-w11h-dizustu-bilgisayar-fiyati,953444658.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","14.799"
"Asus Expertbook P1 P1503 Intel Core I7-13620H 32GB Ddr5 2tb SSD Freedos 15.6 Fhd Intel UHD Taşınabilir Bilgisayar WP1503CVAI716512G0D19+ZETTAÇANTA",Asus,"Asus Expertbook","https//www.akakce.com/laptop-notebook/en-ucuz-asus-expertbook-p1-p1503-intel-core-i7-13620h-32gb-ddr5-2tb-ssd-freedos-15-6-fhd-intel-uhd-tasinabilir-bilgisayar-wp1503cvai716512g0d19-zettacanta-fiyati,970737684.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","38.839"
"Razer Blade 18 Intel Core i9 13950HX 32GB ram 1TB SSD Nvidia Geforce Rtx 4080 Qhd+ 240Hz Gaming Dizüstü Bilgisayar",Razer,"Razer Blade","https//www.akakce.com/laptop-notebook/en-ucuz-razer-blade-18-intel-core-i9-13950hx-32gb-ram-1tb-ssd-nvidia-geforce-rtx-4080-qhd-240hz-gaming-dizustu-bilgisayar-fiyati,1006011891.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","120.000"
"Lenovo IdeaPad 3 15IIL05 81WE010BTX i3-1005G1 4 GB 256 GB SSD UHD Graphics 15.6"" Full HD Notebook",Lenovo,"Lenovo IdeaPad 3","https//www.akakce.com/laptop-notebook/en-ucuz-lenovo-ideapad-3-15iil05-81we010btx-i3-1005g1-4-gb-256-gb-ssd-uhd-graphics-15-6-full-hd-notebook-fiyati,1064642575.html","256 GB","Intel Core i3","10. Nesil","i3-1005G1",2,"1.20 GHz",Intel,"UHD Graphics","Paylaşımlı","6 GB","4 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Windows 10 Home",,"60 Wh","13.489"
"Dynabook Satellite Pro C40-H-101 i5-1035G1 8 GB 256 GB UHD Graphics 14"" Full HD Notebook",Dynabook,"Dynabook Satellite","https//www.akakce.com/laptop-notebook/en-ucuz-dynabook-satellite-pro-c40-h-101-i5-1035g1-8-gb-256-gb-14-w10p-dizustu-bilgisayar-fiyati,1247778712.html","256 GB","Intel Core i5","10. Nesil","i5-1035G1",4,"1.00 GHz",Intel,"UHD Graphics","Paylaşımlı","6 GB","16 GB","3200 MHz",DDR4,"Full HD","14 inç","1920x1080 px","144 Hz",IPS,"Win 10 Professional",,"60 Wh","16.149"
"Asus X515 Intel Core I5 1035G1U 16GB 256GB SSD Windows 11 Home 15.6"" Fhd IPS Taşınabilir Bilgisayar - Gri",Asus,"Asus X515","https//www.akakce.com/laptop-notebook/en-ucuz-asus-x515-intel-core-i5-1035g1u-16gb-256gb-ssd-windows-11-home-15-6-fhd-ips-tasinabilir-bilgisayar-gri-fiyati,1903498656.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","59.999"
"Dell Latitude 5430 N213L543014EMEA_W i7-1255U 16 GB 512 GB SSD Iris Xe Graphics 14"" Full HD Notebook",Dell,"Dell Latitude","https//www.akakce.com/laptop-notebook/en-ucuz-dell-latitude-5430-n213l543014emea-w-intel-core-i7-1255u-16gb-512gb-ssd-14-fhd-windows-10-pro-tasinabilir-bilgisayar-fiyati,2011333374.html","512 GB","Intel Core i7","12. Nesil","i7-1255U",10,"3.50 GHz",Intel,"Iris Xe Graphics","Paylaşımlı","6 GB","16 GB","3200 MHz",DDR4,"Full HD","14 inç","1920x1080 px","144 Hz",IPS,"Windows 10 Professional",,"41 Wh","39.999"
"Acer Aspire 3 A315-510-38HU NX.KDHEY.001 i3-N305 8 GB 256 GB SSD UHD Graphics 15.6"" Full HD Notebook",Acer,"Acer Aspire 3","https//www.akakce.com/laptop-notebook/en-ucuz-acer-aspire-3-a315-510-nx-kdhey-001-i3-n305-8-gb-256-gb-ssd-uhd-graphics-15-6-full-hd-notebook-fiyati,71601334.html","256 GB","Intel Core i3",,"i3-N305",8,"3.80 GHz",Intel,"UHD Graphics","Paylaşımlı","6 GB","8 GB","3200 MHz",LPDDR5,"Full HD","15.6 inç","1920x1080 px","60 Hz",IPS,"Windows 11 Home","1.78","40 Wh","12.499"
"Huawei Matebook D14 i3-1115G4 8 GB 256 GB SSD UHD Graphics 14"" Full HD Notebook",Huawei,"Huawei MateBook","https//www.akakce.com/laptop-notebook/en-ucuz-huawei-matebook-d14-intel-core-i3-1115g4-8gb-256gb-ssd-gri-fiyati,165855500.html","256 GB","Intel Core i3","11. Nesil","i3-1115G4",2,"3.00 GHz",Intel,"UHD Graphics","Paylaşımlı","6 GB","8 GB","3200 MHz",DDR4,"Full HD","14 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","20.000"
