Urun_Ad,Marka,Seri,Urun_URL,SSD,Islemci_Turu,Islemci_Nesli,Islemci_Modeli,Islemci_Cekirdek_Sayisi,Islemci_Hizi,Ekran_Kart,Ekran_Karti_Modeli,Ekran_Karti_Tipi,Ekran_Karti_Hafizasi,RAM,RAM_Frekans,Ram_Turu,Cozunurluk_Format,Ekran_Boyutu,Ekran_Cozunurlugu,Ekran_Yenileme_Hizi,Panel_Tipi,Isletim_Sistemi,Agirlik,Pil_Gucu,Fiyat,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"HP ZBook Firefly G11 86A93EA Ultra 7 165H 32 GB 1 TB SSD RTX A500 16"" WUXGA Taşınabilir İş İstasyonu",HP,HP ZBook,"https//www.akakce.com/laptop-notebook/en-ucuz-hp-zbook-firefly-g11-86a93ea-ultra-7-165h-32-gb-1-tb-ssd-rtx-a500-16-wuxga-tasinabilir-is-istasyonu-fiyati,874431756.html",1 TB,Intel Core Ultra 7,,165H,16.0,1.40 GHz,NVIDIA,RTX A500,Harici,4 GB,32 GB,5600 MHz,DDR5,WUXGA,16 inç,1920x1200 px,144 Hz,IPS,Windows 11 Professional,1.8,76 Wh,81.645,6.9558945,5.6114736,0.12407531,0.0,5.057435,8.300596,0.0,5.7559156,1.9952772,11.308461,10.215924,8.606048,3.5223174,3.972774,7.567054,1.5087453,13.810095,0.0,5.7961044,5.732161,5.4890447,13.418481,7.9788127,2.71837,1.5959958,8.812534,7.4389124,5.508131,3.316095,3.1130228,9.783286,4.579754
"Casper Nirvana X600.1342-DF00P-G-F i5-13420H 32 GB 1 TB SSD UHD Graphics 15.6"" Full HD Notebook",Casper,Casper Nirvana,"https//www.akakce.com/laptop-notebook/en-ucuz-casper-nirvana-x600-1342-df00p-g-f-i5-13420h-32-gb-1-tb-ssd-uhd-graphics-15-6-full-hd-notebook-fiyati,914966541.html",1 TB,Intel Core i5,13. Nesil,i5-13420H,8.0,3.40 GHz,Intel,UHD Graphics,Paylaşımlı,6 GB,32 GB,3200 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,144 Hz,IPS,Windows 11 Home,1.6,38 Wh,23.847,8.80082,8.056456,14.692376,0.0,0.17135541,8.6458235,0.0,2.2043254,8.079262,4.8783045,10.000684,7.184289,11.293189,7.2749143,11.628486,3.7974024,14.21934,9.393988,5.717269,0.0,3.3360841,9.686165,4.24053,2.2745059,7.5698023,0.8324867,10.378082,4.6253114,7.762697,6.870307,0.6178858,2.1604805
"Asus Zenbook 14 OLED UM3406KA-PP110W Ryzen AI 7 350 16 GB 512 GB SSD Radeon 860M 14"" Notebook",Asus,Asus Zenbook,"https//www.akakce.com/laptop-notebook/en-ucuz-asus-zenbook-14-oled-um3406ka-pp110w-ryzen-ai-7-350-16-gb-512-gb-ssd-radeon-860m-14-notebook-fiyati,974421210.html",512 GB,AMD Ryzen AI 7,,350,8.0,2.00 GHz,AMD,Radeon 860M,Paylaşımlı,6 GB,16 GB,3200 MHz,LPDDR5x,Full HD,14 inç,2880x1800 px,120 Hz,IPS,Windows 11 Home,1.2,75 Wh,51.999,8.124519,6.4678,3.579229,0.0,9.768762,8.358747,0.0,9.832571,5.957518,3.9064798,5.996949,1.222901,3.7296095,9.322552,11.593192,6.164892,5.43777,6.2311783,6.0726976,0.54551774,3.829326,9.1461115,8.517851,0.50005794,4.439435,4.9846125,2.7486758,4.6178355,6.2319326,2.327184,7.460355,4.432025
"Asus Vivobook 15 X1504VA-NJ2380 i3-1315U 8 GB 512 GB SSD UHD Graphics 15.6"" Full HD Notebook",Asus,Asus Vivobook,"https//www.akakce.com/laptop-notebook/en-ucuz-asus-vivobook-15-x1504va-nj2380-i3-1315u-8-gb-512-gb-ssd-uhd-graphics-15-6-full-hd-notebook-fiyati,992163066.html",512 GB,Intel Core i3,13. Nesil,i3-1315U,6.0,3.3 GHz,Intel,UHD Graphics,Paylaşımlı,6 GB,8 GB,3200 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,60 Hz,IPS,Free Dos,1.7,42 Wh,12.999,6.403524,4.008522,15.973101,0.0,6.571171,9.745813,0.0,8.232647,8.764862,2.5474484,11.420273,4.2463593,11.262127,8.111704,13.795838,4.5370636,5.682399,12.081831,4.202659,0.0,2.2592356,1.3311099,12.396124,5.8028636,7.9086123,3.2360988,6.795011,1.6670687,6.271896,2.7207596,2.0416958,9.286866
"Asus X515EA-BQ868W i3-1115G4 4 GB 256 GB SSD UHD Graphics 15.6"" Full HD Notebook",Asus,Asus X515EA-BQ868W,"https//www.akakce.com/laptop-notebook/en-ucuz-asus-x515ea-bq868w-i3-1115g4-4-gb-256-gb-ssd-uhd-graphics-15-6-full-hd-notebook-fiyati,2091773790.html",256 GB,Intel Core i3,11. Nesil,i3-1115G4,2.0,3.00 GHz,Intel,UHD Graphics,Paylaşımlı,6 GB,4 GB,2666 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,144 Hz,IPS,Windows 11 Home,1.8,37 Wh,23.599,6.340502,4.1135235,9.257081,0.0,0.36886156,9.868164,0.0,1.7432667,7.2005234,2.6152868,11.938307,5.6845202,8.980076,6.6112747,16.258005,2.750346,7.527208,10.574328,8.172186,0.0,0.7823339,5.4677124,13.984011,3.052836,4.4393864,0.0,8.646831,4.305101,10.521688,4.577575,0.0,8.22045
"Casper Nirvana X600.1270-BF00R-G-F i7-12700H 16 GB 1 TB SSD Iris Xe Graphics 15.6"" W11P Full HD Notebook",Casper,Casper Nirvana,"https//www.akakce.com/laptop-notebook/en-ucuz-casper-nirvana-x600-1270-bf00r-g-f-i7-12700h-16-gb-1-tb-ssd-iris-xe-graphics-15-6-w11p-full-hd-notebook-fiyati,721211654.html",1 TB,Intel Core i7,12. Nesil,i7-12700H,14.0,3.50 GHz,Intel,Iris Xe Graphics,Paylaşımlı,6 GB,16 GB,3200 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,144 Hz,IPS,Windows 11 Professional,1.6,38 Wh,23.599,5.5263667,3.2948897,5.5613728,0.0,3.45839,6.0221877,0.0,1.3303798,9.529175,2.972771,5.210455,3.791952,11.539771,5.40792,10.900818,5.358688,6.6616764,8.629601,4.393778,0.0,6.996831,10.635363,7.340906,3.142856,4.1789947,1.3694679,15.485282,5.8115745,10.04574,9.34782,1.4277285,6.342493
"Dell Vostro 3500 N3001VN3500EMEA01_2201_039 i3-1115G4 12 GB 1 TB SSD UHD Graphics 15.6"" Full HD Notebook",Dell,Dell Vostro,"https//www.akakce.com/laptop-notebook/en-ucuz-dell-vostro-3500-intel-core-i3-1115g4-12gb-1tb-ssd-windows-10-pro-15-6-fhd-tasinabilir-bilgisayar-n3001vn3500emea01-2201-039-fiyati,1170292295.html",1 TB,Intel Core i3,11. Nesil,i3-1115G4,2.0,3.00 GHz,Intel,UHD Graphics,Paylaşımlı,6 GB,12 GB,2666 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,60 Hz,IPS,Windows 10 Professional,1.84,42 Wh,14.75,5.5727296,7.6662703,7.811332,0.0,3.914462,9.757158,0.0,0.27898657,5.9476624,0.0,11.192697,3.8947532,11.530811,9.398698,17.288937,2.4292295,8.806617,10.398667,6.4644427,0.0,2.8644443,1.9895475,15.147481,4.180564,2.795067,1.0922137,4.486579,1.9815482,12.37687,3.7908175,0.0,11.727007
"HP Elitebook 650 G9 822G7AA i5-1235U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD Notebook",HP,HP EliteBook,"https//www.akakce.com/laptop-notebook/en-ucuz-hp-elitebook-650-g9-822g7aa-i5-1235u-16-gb-512-gb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati,221310377.html",512 GB,Intel Core i5,12. Nesil,i5-1235U,10.0,3.3 GHz,Intel,Iris Xe Graphics,Paylaşımlı,6 GB,16 GB,3200 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,144 Hz,IPS,Windows 11 Professional,1.74,51 Wh,32.19,9.433502,5.6928906,14.013198,0.0,5.136966,6.48621,0.0,3.5840886,8.824957,1.4349034,10.048388,0.8872382,7.388272,3.8365924,5.6888237,6.2710257,2.4773042,8.520081,5.1535206,0.0,8.117931,8.003282,7.568286,3.9228535,6.332063,6.137061,9.222,6.0671344,11.9280405,4.501667,3.3399668,3.6748781
"Lenovo IdeaPad 3 15ITL6 82H8031QTX i5-1155G7 8 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD Notebook",Lenovo,Lenovo IdeaPad 3,"https//www.akakce.com/laptop-notebook/en-ucuz-lenovo-ideapad-3-15itl6-82h8031qtx-i5-1155g7-8-gb-512-gb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati,271655271.html",512 GB,Intel Core i5,11. Nesil,i5-1155G7,4.0,2.50 GHz,Intel,Iris Xe Graphics,Paylaşımlı,6 GB,8 GB,3200 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,144 Hz,TN,Windows 11 Home,1.65,38 Wh,18.5,4.364605,3.104493,11.031928,0.0,3.918313,8.207343,0.0,3.5400774,8.82182,5.4235325,11.81443,7.381384,7.867057,2.1739087,11.11422,4.3731513,2.8056228,8.43623,4.224464,0.0,0.32079393,1.9959275,6.5040946,5.8883495,5.607609,4.967314,9.957573,8.03862,9.409322,6.1388874,0.14330152,2.5096586
"Asus Vivobook X1502ZA-EJ1069 i5-1235U 8 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD Notebook",Asus,Asus Vivobook,"https//www.akakce.com/laptop-notebook/en-ucuz-asus-vivobook-x1502za-ej1069-i5-1235u-8-gb-512-gb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati,283456311.html",512 GB,Intel Core i5,12. Nesil,i5-1235U,10.0,3.3 GHz,Intel,Iris Xe Graphics,Paylaşımlı,6 GB,8 GB,3200 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,144 Hz,IPS,Free Dos,1.7,42 Wh,17.799,8.145158,4.275987,16.707895,0.0,7.748014,8.776975,0.0,7.453398,9.30536,2.1696377,9.941095,3.981893,8.890869,4.489821,8.38354,7.0137725,2.9259558,10.972073,4.562723,0.0,3.48766,4.906962,9.604299,7.691185,7.463418,4.0969734,8.44275,3.3215816,10.008874,3.7669625,1.0563085,3.7809355
